time,root_dist,x,y,z,rel_vel_mag,Re,alpha_deg,alpha_geom_deg,cl,cd,fx,fy,fz,end_effect_factor
64.15,0.933333333333,0.00296854269162,-16.3578944083,-56.5885966677,75.7252108565,9282991.29775,6.8779076352,8.26184288617,1.23254244088,0.0094528877505,19339.4967588,2244.56481932,-617.998298948,1
64.2,0.933333333333,0.00296854269162,-12.7435497039,-57.5104505567,75.6949932951,9279286.99167,6.87206447529,8.26184288617,1.23202695134,0.00944592060613,19316.214319,2274.52469466,-473.731108383,1
64.25,0.933333333333,0.00296854269162,-9.0781062893,-58.2017007354,75.6617744038,9275214.75898,6.87700249721,8.26184288617,1.2324473912,0.009452304551,19305.6562611,2300.31188665,-328.876645548,1
64.3,0.933333333333,0.00296854269162,-5.37626175158,-58.6595754491,75.6255028391,9270768.3056,6.87569006951,8.26184288617,1.23232400187,0.00945098792343,19285.272212,2313.62821719,-182.401914438,1
64.35,0.933333333333,0.00296854269162,-1.65285963788,-58.8822387253,75.5876349543,9266126.16276,6.87851610632,8.26184288617,1.232559696,0.00945480217281,19269.53804,2319.57340365,-35.5902632544,1
64.4,0.933333333333,0.00296854269162,2.07717006371,-58.8687977355,75.5492158116,9261416.44241,6.88328438153,8.26184288617,1.23296389996,0.00946102481281,19256.0806623,2317.13210337,111.286797856,1
64.45,0.933333333333,0.00296854269162,5.79887078996,-58.6193063747,75.5117718207,9256826.26381,6.89107367695,8.26184288617,1.23363065831,0.00947097888343,19247.0949867,2306.92981252,257.883670607,1
64.5,0.933333333333,0.00296854269162,9.49731937496,-58.1347650462,75.4759944462,9252440.39216,6.89476196083,8.26184288617,1.2339416066,0.00947584773822,19233.5631896,2285.57457541,403.302036971,1
64.55,0.933333333333,0.00296854269162,13.1576858885,-57.4171166496,75.4431770775,9248417.38126,6.89617336148,8.26184288617,1.23405556895,0.00947787501534,19218.5610507,2254.1571055,546.831295275,1
64.6,0.933333333333,0.00296854269162,16.7652931009,-56.4692387901,75.4142005657,9244865.21278,6.90426190066,8.26184288617,1.23475029476,0.00948813463137,19214.2940242,2217.09060163,689.044255421,1
64.65,0.933333333333,0.00296854269162,20.3056753348,-55.2949322406,75.3895860133,9241847.76756,6.91145608316,8.26184288617,1.23536843632,0.00949725222882,19211.0831704,2170.89515344,828.695130292,1
64.7,0.933333333333,0.00296854269162,23.7646364701,-53.8989057007,75.3695752565,9239394.69178,6.91836307856,8.26184288617,1.23596280359,0.00950597641859,19209.8521421,2116.03654721,965.31866603,1
64.75,0.933333333333,0.00296854269162,27.1283068661,-52.2867569167,75.3541546922,9237504.31785,6.92458295879,8.26184288617,1.23649869332,0.00951381146829,19210.0727107,2052.53577241,1098.29330908,1
64.8,0.933333333333,0.00296854269162,30.3831989765,-50.4649502353,75.343073769,9236145.93122,6.92976296171,8.26184288617,1.23694543509,0.00952032206684,19211.1574459,1980.47724678,1226.97083989,1
