time,x,y,z,rel_vel_mag,alpha_deg,alpha_geom_deg,cl,cd,cm
53.5,0.0246538433123,5.42531632181,31.7998588192,38.1236754448,12.8186965064,16.9415917578,1.0828366341,0.0823245366324,1.54566516283e-301
53.55,0.0246538433123,3.4017942468,32.0794774585,38.1315833326,12.8057474459,16.9415917578,1.08245765193,0.0823050141336,1.54566516283e-301
53.6,0.0246538433123,1.36463175744,32.2304647543,38.1390274657,12.7899214467,16.9415917578,1.08194516109,0.0822722270914,1.54566516283e-301
53.65,0.0246538433123,-0.67800259213,32.252215282,38.1463128925,12.7763300884,16.9415917578,1.08157903843,0.0822453246817,1.54566516283e-301
53.7,0.0246538433123,-2.71791830689,32.144641827,38.1539955487,12.7631549061,16.9415917578,1.08114067045,0.0822260471904,1.54566516283e-301
53.75,0.0246538433123,-4.74693579289,31.9081757343,38.1615000882,12.7502487396,16.9415917578,1.08071063585,0.082206472795,1.54566516283e-301
53.8,0.0246538433123,-6.75691915559,31.5437651785,38.1689874351,12.7378060534,16.9415917578,1.08030718597,0.0821820756082,1.54566516283e-301
53.85,0.0246538433123,-8.73980882293,31.0528713624,38.1763869146,12.7252218496,16.9415917578,1.07988881452,0.0821571770826,1.54566516283e-301
53.9,0.0246538433123,-10.6876538623,30.4374626575,38.1836453762,12.7125744003,16.9415917578,1.07947181254,0.0821317699892,1.54566516283e-301
53.95,0.0246538433123,-12.5926438621,29.7000067116,38.1910407523,12.70044062,16.9415917578,1.07903018529,0.0821102599433,1.54566516283e-301
54,0.0246538433123,-14.4471402496,28.8434605538,38.1985248142,12.6886062602,16.9415917578,1.07857731418,0.0820904591787,1.54566516283e-301
54.05,0.0246538433123,-16.2437069197,27.8712587376,38.2058500413,12.677821744,16.9415917578,1.07819415824,0.0820750185914,1.54566516283e-301
54.1,0.0246538433123,-17.9751400523,26.7872995692,38.2131792731,12.6668480286,16.9415917578,1.07780627739,0.0820586646972,1.54566516283e-301
54.15,0.0246538433123,-19.6344969979,25.5959294762,38.2205502164,12.6559749781,16.9415917578,1.07740685181,0.0820402798677,1.54566516283e-301
